,ID,Position
0,837475531,"Arleta,CA91331"
1,816384465,"LosAngeles,CA90018"
2,836560292,"LosAngeles,CA91335"
3,812797661,"Lomita,CA90717"
4,839374321,"VanNuys,CA91406"
5,839153509,"Pasadena,CA91107"
6,836859643,"Alhambra,CA91803"
7,838435230,"Glendale,CA91204"
8,839382186,"LosAngeles,CA90048"
9,838801658,"Gardena,CA90248"
10,821871819,"ValleyVillage,CA91601"
11,824584495,"BeverlyHills,CA90211"
12,838045897,"Pasadena,CA91107"
13,839037502,"ValleyVillage,CA91601"
14,840247342,"ElMonte,CA91733"
15,827014798,"NorthHollywood,CA91606"
16,837496039,"NHollywood,CA91607"
17,836898319,"ValleyVillage,CA91601"
18,808018573,"Wilmington,CA90744"
19,818972659,"ValleyVillage,CA91601"
20,839598942,"SOUTHGATE,CA90280"
21,840022222,"LosAngeles,CA90065"
22,810677726,"Hawthorne,CA90250"
23,831781653,"Gardena,CA90248"
24,834170587,"LosAngeles,CA90065"
25,804624569,"SOUTHGATE,CA90280"
26,834184756,"LosAngeles,CA91335"
27,834418243,"Burbank,CA91504"
28,826755713,"Arleta,CA91331"
29,831835048,"Arleta,CA91331"
30,814343891,"ValleyVillage,CA91601"
31,837728219,"LosAngeles,CA91335"
32,830707387,"Rosemead,CA91770"
33,839029541,"NorthHollywood,CA91605"
34,838579060,"BeverlyHills,CA90211"
35,840088079,"Torrance,CA90503"
36,839452155,"Arleta,CA91331"
37,834143500,"Pasadena,CA91107"
38,806259719,"Hawthorne,CA90250"
39,839859614,"Glendale,CA91214"
40,830173510,"Burbank,CA91505"
41,839221067,"Glendale,CA91214"
42,829276797,"NorthHollywood,CA91606"
43,824772348,"Alhambra,CA91803"
44,826424681,"Hawthorne,CA90250"
45,797640919,"Hawthorne,CA90250"
46,839985309,"Arleta,CA91331"
47,836273550,"LaHabra,CA90631"
48,838799443,"Lomita,CA90717"
49,839651182,"Gardena,CA90248"
50,840318673,"Gardena,CA90248"
51,836628921,"ShermanOaks,CA91411"
52,834591146,"SouthGate,CA90280"
53,838755732,"Pasadena,CA91107"
54,839626850,"Bellflower,CA90706"
55,837727262,"Arleta,CA91331"
56,830338544,"Arleta,CA91331"
57,802833081,"Hawthorne,CA90250"
58,818096878,"LosAngeles,CA91335"
59,835189910,"Arleta,CA91331"
60,834346500,"Glendale,CA91214"
61,836902384,"ShermanOaks,CA91411"
62,837039788,"Downey,CA90241"
63,820227670,"Glendale,CA91214"
64,839049294,"Torrance,CA90505"
65,839057159,"Bellflower,CA90706"
66,840315944,"Arleta,CA91331"
67,837833240,"Glendale,CA91214"
68,824613728,"SunValley,CA91352"
69,828690369,"LosAngeles,CA90744"
70,837299553,"Burbank,CA91504"
71,611387173,"Lomita,CA90717"
72,839662533,"Hawthorne,CA90250"
73,839003901,"Arleta,CA91331"
74,839602253,"Bellflower,CA90706"
75,839357479,"Burbank,CA91505"
76,839317209,"Gardena,CA90248"
77,838665993,"Hawthorne,CA90250"
78,837622077,"LosAngeles,CA90744"
79,828032006,"SantaMonica,CA90405"
80,829029340,"Burbank,CA91504"
81,831877436,"Burbank,CA91505"
82,827378619,"Gardena,CA90248"
83,839651175,"Gardena,CA90248"
84,839701558,"LosAngeles,CA90048"
85,833975497,"LaCrescenta,CA91214"
86,839915319,"Glendale,CA91204"
87,820152952,"BeverlyHills,CA90211"
88,837557299,"LaHabra,CA90631"
89,827023736,"Glendale,CA91214"
90,837897720,"BuenaPark,CA90621"
91,837823281,"Gardena,CA90248"
92,839468026,"Burbank,CA91505"
93,840266001,"Downey,CA90241"
94,821942680,"LongBeach,CA90805"
95,824117310,"Glendale,CA91214"
96,836555358,"Gardena,CA90248"
97,825987230,"Burbank,CA91505"
98,837967085,"ValleyVillage,CA91601"
99,818864986,"Alhambra,CA91803"
100,822058778,"ShermanOaks,CA91423"
101,833168965,"Arleta,CA91331"
102,836564765,"Burbank,CA91504"
103,839767491,"Pasadena,CA91107"
104,837978524,"Glendale,CA91214"
105,839680212,"LosAngeles,CA91335"
106,836118220,"Hawthorne,CA90250"
107,839463733,"LongBeach,CA90805"
108,831845902,"SantaMonica,CA90405"
109,836269453,"SignalHill,CA90755"
110,838473643,"SouthElMonte,CA91733"
111,840122114,"Hawthorne,CA90250"
112,838253608,"Cerritos,CA90703"
113,837136698,"CityofIndustry,CA91748"
114,837339494,"LaHabra,CA90631"
115,840165851,"LosAngeles,CA90048"
116,837220839,"LosAngeles,CA91335"
117,816674354,"ValleyVillage,CA91601"
118,832530306,"SouthElMonte,CA91733"
119,831458948,"ShermanOaks,CA91423"
120,838468255,"Lawndale,CA90260"
121,832233434,"SanGabriel,CA91776"
122,839651094,"Gardena,CA90248"
123,840323099,"Pacoima,CA91331"
124,839923049,"Burbank,CA91504"
125,823449645,"LosAngeles,CA90065"
126,836366844,"Cypress,CA90630"
127,825844202,"Glendale,CA91214"
128,835697316,"Hawthorne,CA90250"
129,839651091,"Gardena,CA90248"
130,839923449,"Pasadena,CA91107"
131,839801060,"ElMonte,CA91732"
132,838433714,"Arleta,CA91331"
133,832322959,"Bellflower,CA90706"
134,826962353,"NorthHollywood,CA91606"
135,815921411,"Pasadena,CA91107"
136,828889480,"NorthHollywood,CA91606"
137,835299616,"NorthHollywood,CA91606"
138,838954554,"Alhambra,CA91803"
139,825114880,"LosAngeles,CA90744"
140,839737204,"Bellflower,CA90706"
141,836264091,"SunValley,CA91352"
142,839357898,"LosAngeles,CA91335"
143,837774180,"Pasadena,CA91107"
144,838949661,"Burbank,CA91504"
145,838614443,"Glendale,CA91204"
146,836807703,"Burbank,CA91504"
147,821738552,"ShermanOaks,CA91423"
148,839991613,"Gardena,CA90248"
149,835704898,"CityofIndustry,CA91745"
150,815751675,"ShermanOaks,CA91403"
151,830862277,"NorthHollywood,CA91605"
152,838385595,"Montebello,CA90640"
153,798102108,"Hawthorne,CA90250"
154,838740195,"LosAngeles,CA91352"
155,840323174,"Pacoima,CA91331"
156,826077070,"ShermanOaks,CA91423"
157,840032496,"ValleyVillage,CA91601"
158,821942876,"LongBeach,CA90805"
159,836675869,"LosAngeles,CA91335"
160,839490952,"LosAngeles,CA90048"
161,836675242,"ValleyVillage,CA91601"
162,826197365,"ValleyVillage,CA91607"
163,839685365,"BellGardens,CA90201"
164,821052104,"Glendale,CA91214"
165,838461138,"LosAngeles,CA90048"
166,840220252,"Pasadena,CA91107"
167,840264572,"VanNuys,CA91401"
168,839348910,"Lawndale,CA90260"
169,835064798,"Pacoima,CA91331"
170,817588719,"ShermanOaks,CA91403"
171,831877382,"ValleyVillage,CA91601"
172,837099979,"SOUTHGATE,CA90280"
173,835179995,"Glendale,CA91214"
174,831775125,"Pasadena,CA91107"
175,810101814,"Hawthorne,CA90250"
176,838981431,"Burbank,CA91504"
177,836547532,"Glendale,CA91214"
178,833019757,"SantaMonica,CA90405"
